age,exercise,reps,duration_min,reps_per_min,met,value_type,source_baseline
21,jumping_jack,13,0.5,26.0,4.61,estimated_synthetic,NCCOR Youth Compendium
22,squat,64,2.0,32.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
52,push-up,57,3.0,19.0,7.22,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
42,crunch,18,0.5,36.0,3.42,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
46,jumping_jack,72,8.0,9.0,4.08,estimated_synthetic,NCCOR Youth Compendium
56,squat,6,2.0,3.0,2.59,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
69,push-up,57,1.0,57.0,8.5,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
39,crunch,78,2.0,39.0,3.43,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
58,jumping_jack,45,5.0,9.0,3.96,estimated_synthetic,NCCOR Youth Compendium
29,squat,232,8.0,29.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
28,push-up,304,8.0,38.0,8.5,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
21,crunch,84,1.5,56.0,3.39,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
38,jumping_jack,530,10.0,53.0,5.38,estimated_synthetic,NCCOR Youth Compendium
44,squat,18,1.0,18.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
28,push-up,400,8.0,50.0,8.5,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
64,crunch,15,0.5,30.0,3.43,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
48,jumping_jack,50,1.0,50.0,5.35,estimated_synthetic,NCCOR Youth Compendium
66,squat,56,1.0,56.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
66,push-up,19,1.0,19.0,6.13,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
40,crunch,17,0.5,34.0,3.37,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
16,jumping_jack,13,1.0,13.0,4.12,estimated_synthetic,NCCOR Youth Compendium
39,squat,96,3.0,32.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
53,push-up,168,8.0,21.0,7.71,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
56,crunch,480,10.0,48.0,3.43,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
62,jumping_jack,26,2.0,13.0,4.63,estimated_synthetic,NCCOR Youth Compendium
27,squat,40,1.0,40.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
46,push-up,8,1.5,5.33,4.43,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
20,crunch,72,8.0,9.0,2.69,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
17,jumping_jack,40,5.0,8.0,4.17,estimated_synthetic,NCCOR Youth Compendium
59,squat,160,10.0,16.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
69,push-up,144,3.0,48.0,8.5,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
49,crunch,360,8.0,45.0,3.37,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
22,jumping_jack,48,1.5,32.0,5.09,estimated_synthetic,NCCOR Youth Compendium
61,squat,96,2.0,48.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
36,push-up,18,1.0,18.0,7.06,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
39,crunch,24,2.0,12.0,2.99,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
38,jumping_jack,36,1.5,24.0,4.72,estimated_synthetic,NCCOR Youth Compendium
56,squat,42,1.5,28.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
36,push-up,20,1.0,20.0,7.66,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
52,crunch,520,10.0,52.0,3.52,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
41,jumping_jack,68,2.0,34.0,5.2,estimated_synthetic,NCCOR Youth Compendium
42,squat,70,5.0,14.0,8.47,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
60,push-up,312,8.0,39.0,8.5,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
24,crunch,25,5.0,5.0,2.48,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
26,jumping_jack,156,3.0,52.0,5.58,estimated_synthetic,NCCOR Youth Compendium
68,squat,117,3.0,39.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
20,push-up,21,3.0,7.0,4.62,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
55,crunch,58,1.0,58.0,3.35,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
68,jumping_jack,74,2.0,37.0,5.14,estimated_synthetic,NCCOR Youth Compendium
70,squat,456,8.0,57.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
67,push-up,185,5.0,37.0,8.5,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
44,crunch,36,3.0,12.0,2.94,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
24,jumping_jack,18,0.5,36.0,4.67,estimated_synthetic,NCCOR Youth Compendium
53,squat,135,3.0,45.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
57,push-up,93,3.0,31.0,8.5,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
22,crunch,520,10.0,52.0,3.24,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
21,jumping_jack,40,5.0,8.0,4.09,estimated_synthetic,NCCOR Youth Compendium
55,squat,112,2.0,56.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
58,push-up,110,5.0,22.0,7.93,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
60,crunch,312,8.0,39.0,3.31,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
30,jumping_jack,63,3.0,21.0,4.46,estimated_synthetic,NCCOR Youth Compendium
68,squat,8,1.0,8.0,4.49,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
67,push-up,125,5.0,25.0,7.23,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
24,crunch,174,3.0,58.0,3.42,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
67,jumping_jack,90,3.0,30.0,4.8,estimated_synthetic,NCCOR Youth Compendium
51,squat,30,10.0,3.0,2.48,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
55,push-up,18,2.0,9.0,5.58,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
64,crunch,50,5.0,10.0,2.86,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
21,jumping_jack,21,0.5,42.0,5.24,estimated_synthetic,NCCOR Youth Compendium
20,squat,88,2.0,44.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
61,push-up,290,10.0,29.0,7.55,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
15,crunch,48,1.5,32.0,3.43,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
66,jumping_jack,27,3.0,9.0,3.72,estimated_synthetic,NCCOR Youth Compendium
17,squat,420,10.0,42.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
30,push-up,4,0.5,8.0,5.12,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
49,crunch,21,0.5,42.0,3.45,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
65,jumping_jack,16,1.0,16.0,4.28,estimated_synthetic,NCCOR Youth Compendium
62,squat,392,8.0,49.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
26,push-up,62,1.5,41.33,8.5,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
15,crunch,6,0.5,12.0,2.62,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
17,jumping_jack,490,10.0,49.0,5.24,estimated_synthetic,NCCOR Youth Compendium
31,squat,136,8.0,17.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
18,push-up,560,10.0,56.0,8.5,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
62,crunch,250,5.0,50.0,3.39,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
61,jumping_jack,5,0.5,10.0,4.09,estimated_synthetic,NCCOR Youth Compendium
45,squat,170,5.0,34.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
50,push-up,24,2.0,12.0,5.72,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
17,crunch,3,1.0,3.0,2.36,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
30,jumping_jack,177,3.0,59.0,5.61,estimated_synthetic,NCCOR Youth Compendium
43,squat,4,0.5,8.0,4.95,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
49,push-up,54,1.0,54.0,8.5,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
38,crunch,24,1.0,24.0,3.35,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
20,jumping_jack,118,2.0,59.0,5.72,estimated_synthetic,NCCOR Youth Compendium
45,squat,136,8.0,17.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
50,push-up,22,2.0,11.0,5.86,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
45,crunch,40,1.5,26.67,3.51,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
47,jumping_jack,60,1.5,40.0,5.32,estimated_synthetic,NCCOR Youth Compendium
23,squat,29,1.0,29.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
43,push-up,300,10.0,30.0,8.5,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
69,crunch,57,1.0,57.0,3.51,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
30,jumping_jack,81,3.0,27.0,4.74,estimated_synthetic,NCCOR Youth Compendium
37,squat,295,5.0,59.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
38,push-up,120,8.0,15.0,6.25,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
48,crunch,84,1.5,56.0,3.37,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
17,jumping_jack,60,2.0,30.0,4.97,estimated_synthetic,NCCOR Youth Compendium
20,squat,69,3.0,23.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
46,push-up,120,3.0,40.0,8.5,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
49,crunch,26,1.5,17.33,3.25,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
59,jumping_jack,28,1.0,28.0,4.73,estimated_synthetic,NCCOR Youth Compendium
44,squat,87,1.5,58.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
43,push-up,162,3.0,54.0,8.5,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
62,crunch,135,3.0,45.0,3.32,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
44,jumping_jack,21,1.0,21.0,4.36,estimated_synthetic,NCCOR Youth Compendium
36,squat,10,2.0,5.0,3.17,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
21,push-up,408,8.0,51.0,8.5,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
19,crunch,52,1.5,34.67,3.37,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
33,jumping_jack,105,5.0,21.0,4.21,estimated_synthetic,NCCOR Youth Compendium
65,squat,14,0.5,28.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
61,push-up,48,2.0,24.0,7.01,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
28,crunch,123,3.0,41.0,3.1,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
21,jumping_jack,174,3.0,58.0,6.14,estimated_synthetic,NCCOR Youth Compendium
40,squat,216,8.0,27.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
32,push-up,43,1.0,43.0,8.5,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
66,crunch,110,5.0,22.0,3.48,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
15,jumping_jack,264,8.0,33.0,4.91,estimated_synthetic,NCCOR Youth Compendium
54,squat,27,1.0,27.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
61,push-up,350,10.0,35.0,8.44,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
59,crunch,400,10.0,40.0,3.54,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
22,jumping_jack,200,8.0,25.0,4.84,estimated_synthetic,NCCOR Youth Compendium
61,squat,40,8.0,5.0,3.41,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
39,push-up,110,10.0,11.0,5.59,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
28,crunch,570,10.0,57.0,3.24,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
17,jumping_jack,19,1.0,19.0,4.33,estimated_synthetic,NCCOR Youth Compendium
70,squat,132,3.0,44.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
42,push-up,26,1.5,17.33,6.87,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
62,crunch,175,5.0,35.0,3.37,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
51,jumping_jack,376,8.0,47.0,5.43,estimated_synthetic,NCCOR Youth Compendium
55,squat,69,1.5,46.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
45,push-up,510,10.0,51.0,8.5,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
44,crunch,336,8.0,42.0,3.39,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
62,jumping_jack,110,2.0,55.0,5.56,estimated_synthetic,NCCOR Youth Compendium
21,squat,200,8.0,25.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
34,push-up,13,0.5,26.0,8.5,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
50,crunch,125,5.0,25.0,3.49,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
24,jumping_jack,21,1.5,14.0,4.22,estimated_synthetic,NCCOR Youth Compendium
49,squat,430,10.0,43.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
40,push-up,37,1.0,37.0,8.5,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
38,crunch,18,1.5,12.0,2.84,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
54,jumping_jack,295,5.0,59.0,6.02,estimated_synthetic,NCCOR Youth Compendium
64,squat,120,2.0,60.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
57,push-up,132,3.0,44.0,8.5,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
49,crunch,232,8.0,29.0,3.47,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
63,jumping_jack,135,3.0,45.0,5.15,estimated_synthetic,NCCOR Youth Compendium
51,squat,174,3.0,58.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
51,push-up,30,0.5,60.0,8.5,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
61,crunch,295,5.0,59.0,3.36,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
56,jumping_jack,5,0.5,10.0,3.91,estimated_synthetic,NCCOR Youth Compendium
43,squat,464,8.0,58.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
42,push-up,232,8.0,29.0,8.5,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
28,crunch,14,2.0,7.0,2.65,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
59,jumping_jack,35,1.0,35.0,4.88,estimated_synthetic,NCCOR Youth Compendium
29,squat,280,10.0,28.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
61,push-up,12,0.5,24.0,6.96,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
35,crunch,28,0.5,56.0,3.26,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
52,jumping_jack,235,5.0,47.0,5.27,estimated_synthetic,NCCOR Youth Compendium
56,squat,125,5.0,25.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
59,push-up,160,10.0,16.0,6.87,estimated_synthetic,Nakagata et al. 2022 + NCCOR Youth Compendium
28,crunch,224,8.0,28.0,3.43,estimated_synthetic,Nakagata et al. 2019 + NCCOR Youth Compendium curl-ups
15,jumping_jack,63,1.5,42.0,5.19,estimated_synthetic,NCCOR Youth Compendium
57,squat,86,2.0,43.0,8.5,estimated_synthetic,Nakagata et al. 2022 (21–29; 1–6 reps/min)
